UF;Município;Município-UF;IBGE
RO;Alta Floresta D'Oeste;Alta Floresta D'Oeste-RO;1100015
RO;Alto Alegre dos Parecis;Alto Alegre dos Parecis-RO;1100379
RO;Alto Paraíso;Alto Paraíso-RO;1100403
RO;Alvorada D'Oeste;Alvorada D'Oeste-RO;1100346
RO;Ariquemes;Ariquemes-RO;1100023
RO;Buritis;Buritis-RO;1100452
RO;Cabixi;Cabixi-RO;1100031
RO;Cacaulândia;Cacaulândia-RO;1100601
RO;Cacoal;Cacoal-RO;1100049
RO;Campo Novo de Rondônia;Campo Novo de Rondônia-RO;1100700
RO;Candeias do Jamari;Candeias do Jamari-RO;1100809
RO;Castanheiras;Castanheiras-RO;1100908
RO;Cerejeiras;Cerejeiras-RO;1100056
RO;Chupinguaia;Chupinguaia-RO;1100924
RO;Colorado do Oeste;Colorado do Oeste-RO;1100064
RO;Corumbiara;Corumbiara-RO;1100072
RO;Costa Marques;Costa Marques-RO;1100080
RO;Cujubim;Cujubim-RO;1100940
RO;Espigão D'Oeste;Espigão D'Oeste-RO;1100098
RO;Governador Jorge Teixeira;Governador Jorge Teixeira-RO;1101005
RO;Guajará-Mirim;Guajará-Mirim-RO;1100106
RO;Itapuã do Oeste;Itapuã do Oeste-RO;1101104
RO;Jaru;Jaru-RO;1100114
RO;Ji-Paraná;Ji-Paraná-RO;1100122
RO;Machadinho D'Oeste;Machadinho D'Oeste-RO;1100130
RO;Ministro Andreazza;Ministro Andreazza-RO;1101203
RO;Mirante da Serra;Mirante da Serra-RO;1101302
RO;Monte Negro;Monte Negro-RO;1101401
RO;Nova Brasilândia D'Oeste;Nova Brasilândia D'Oeste-RO;1100148
RO;Nova Mamoré;Nova Mamoré-RO;1100338
RO;Nova União;Nova União-RO;1101435
RO;Novo Horizonte do Oeste;Novo Horizonte do Oeste-RO;1100502
RO;Ouro Preto do Oeste;Ouro Preto do Oeste-RO;1100155
RO;Parecis;Parecis-RO;1101450
RO;Pimenta Bueno;Pimenta Bueno-RO;1100189
RO;Pimenteiras do Oeste;Pimenteiras do Oeste-RO;1101468
RO;Porto Velho;Porto Velho-RO;1100205
RO;Presidente Médici;Presidente Médici-RO;1100254
RO;Primavera de Rondônia;Primavera de Rondônia-RO;1101476
RO;Rio Crespo;Rio Crespo-RO;1100262
RO;Rolim de Moura;Rolim de Moura-RO;1100288
RO;Santa Luzia D'Oeste;Santa Luzia D'Oeste-RO;1100296
RO;São Felipe D'Oeste;São Felipe D'Oeste-RO;1101484
RO;São Francisco do Guaporé;São Francisco do Guaporé-RO;1101492
RO;São Miguel do Guaporé;São Miguel do Guaporé-RO;1100320
RO;Seringueiras;Seringueiras-RO;1101500
RO;Teixeirópolis;Teixeirópolis-RO;1101559
RO;Theobroma;Theobroma-RO;1101609
RO;Urupá;Urupá-RO;1101708
RO;Vale do Anari;Vale do Anari-RO;1101757
RO;Vale do Paraíso;Vale do Paraíso-RO;1101807
RO;Vilhena;Vilhena-RO;1100304
AC;Acrelândia;Acrelândia-AC;1200013
AC;Assis Brasil;Assis Brasil-AC;1200054
AC;Brasiléia;Brasiléia-AC;1200104
AC;Bujari;Bujari-AC;1200138
AC;Capixaba;Capixaba-AC;1200179
AC;Cruzeiro do Sul;Cruzeiro do Sul-AC;1200203
AC;Epitaciolândia;Epitaciolândia-AC;1200252
AC;Feijó;Feijó-AC;1200302
AC;Jordão;Jordão-AC;1200328
AC;Mâncio Lima;Mâncio Lima-AC;1200336
AC;Manoel Urbano;Manoel Urbano-AC;1200344
AC;Marechal Thaumaturgo;Marechal Thaumaturgo-AC;1200351
AC;Plácido de Castro;Plácido de Castro-AC;1200385
AC;Porto Acre;Porto Acre-AC;1200807
AC;Porto Walter;Porto Walter-AC;1200393
AC;Rio Branco;Rio Branco-AC;1200401
AC;Rodrigues Alves;Rodrigues Alves-AC;1200427
AC;Santa Rosa do Purus;Santa Rosa do Purus-AC;1200435
AC;Sena Madureira;Sena Madureira-AC;1200500
AC;Senador Guiomard;Senador Guiomard-AC;1200450
AC;Tarauacá;Tarauacá-AC;1200609
AC;Xapuri;Xapuri-AC;1200708
AM;Alvarães;Alvarães-AM;1300029
AM;Amaturá;Amaturá-AM;1300060
AM;Anamã;Anamã-AM;1300086
AM;Anori;Anori-AM;1300102
AM;Apuí;Apuí-AM;1300144
AM;Atalaia do Norte;Atalaia do Norte-AM;1300201
AM;Autazes;Autazes-AM;1300300
AM;Barcelos;Barcelos-AM;1300409
AM;Barreirinha;Barreirinha-AM;1300508
AM;Benjamin Constant;Benjamin Constant-AM;1300607
AM;Beruri;Beruri-AM;1300631
AM;Boa Vista do Ramos;Boa Vista do Ramos-AM;1300680
AM;Boca do Acre;Boca do Acre-AM;1300706
AM;Borba;Borba-AM;1300805
AM;Caapiranga;Caapiranga-AM;1300839
